"partic","stage","block","trial","stim","resp","rt","fruitL","fruitR","outcome","date"
1,2,1,1,"A","7",6.237,"","orange","","2016_Nov_15_1115"
1,2,1,2,"B","6",2.424,"","apple","","2016_Nov_15_1115"
1,2,1,3,"Y","8",3.925,"strawberry","","","2016_Nov_15_1115"
1,2,1,4,"C","1",2.315,"","pear","","2016_Nov_15_1115"
1,2,1,5,"B","5",1.615,"apple","","","2016_Nov_15_1115"
1,2,1,6,"Y","6",2.534,"","strawberry","","2016_Nov_15_1115"
1,2,1,7,"X","8",2.112,"banana","","","2016_Nov_15_1115"
1,2,1,8,"X","8",2.27,"","banana","","2016_Nov_15_1115"
1,2,1,9,"A","9",1.535,"orange","","","2016_Nov_15_1115"
1,2,1,10,"C","1",2.487,"pear","","","2016_Nov_15_1115"
1,2,2,11,"B","5",1.331,"apple","","","2016_Nov_15_1115"
1,2,2,12,"Y","6",1.737,"","strawberry","","2016_Nov_15_1115"
1,2,2,13,"A","8",1.378,"","orange","","2016_Nov_15_1115"
1,2,2,14,"X","8",3.425,"","banana","","2016_Nov_15_1115"
1,2,2,15,"A","8",1.94,"orange","","","2016_Nov_15_1115"
1,2,2,16,"X","8",2.393,"banana","","","2016_Nov_15_1115"
1,2,2,17,"C","1",1.425,"","pear","","2016_Nov_15_1115"
1,2,2,18,"C","1",1.956,"pear","","","2016_Nov_15_1115"
1,2,2,19,"Y","7",1.503,"strawberry","","","2016_Nov_15_1115"
1,2,2,20,"B","6",1.643,"","apple","","2016_Nov_15_1115"
1,2,3,21,"A","8",1.893,"","orange","","2016_Nov_15_1115"
1,2,3,22,"C","1",2.083,"","pear","","2016_Nov_15_1115"
1,2,3,23,"A","8",1.222,"orange","","","2016_Nov_15_1115"
1,2,3,24,"Y","7",1.518,"","strawberry","","2016_Nov_15_1115"
1,2,3,25,"Y","7",0.927,"strawberry","","","2016_Nov_15_1115"
1,2,3,26,"X","8",1.675,"banana","","","2016_Nov_15_1115"
1,2,3,27,"C","1",1.488,"pear","","","2016_Nov_15_1115"
1,2,3,28,"B","7",1.112,"","apple","","2016_Nov_15_1115"
1,2,3,29,"X","7",0.925,"","banana","","2016_Nov_15_1115"
1,2,3,30,"B","5",3.206,"apple","","","2016_Nov_15_1115"
1,2,4,31,"Y","5",0.893,"","strawberry","","2016_Nov_15_1115"
1,2,4,32,"X","7",1.425,"","banana","","2016_Nov_15_1115"
1,2,4,33,"A","8",1.8,"","orange","","2016_Nov_15_1115"
1,2,4,34,"B","8",3.958,"","apple","","2016_Nov_15_1115"
1,2,4,35,"X","7",1.268,"banana","","","2016_Nov_15_1115"
1,2,4,36,"B","7",1.238,"apple","","","2016_Nov_15_1115"
1,2,4,37,"A","7",0.927,"orange","","","2016_Nov_15_1115"
1,2,4,38,"C","1",1.597,"","pear","","2016_Nov_15_1115"
1,2,4,39,"Y","5",1.581,"strawberry","","","2016_Nov_15_1115"
1,2,4,40,"C","1",1.581,"pear","","","2016_Nov_15_1115"
