"partic","stage","block","trial","stim","resp","rt","fruit1","fruit2","outcome","date"
1,3,1,1,"Z","10",16.209,"apple","","","2017_Sep_27_0935"
1,3,1,2,"WC","7",3.777,"banana","kiwi","","2017_Sep_27_0935"
1,3,1,3,"XF","5",2.943,"orange","plum","","2017_Sep_27_0935"
1,3,1,4,"F","1",1.638,"plum","","","2017_Sep_27_0935"
1,3,1,5,"Y","1",0.854,"pear","","","2017_Sep_27_0935"
1,3,1,6,"B","8",2.903,"mango","","","2017_Sep_27_0935"
1,3,1,7,"W","8",2.704,"banana","","","2017_Sep_27_0935"
1,3,1,8,"C","2",1.538,"kiwi","","","2017_Sep_27_0935"
1,3,1,9,"D","10",1.236,"strawberry","","","2017_Sep_27_0935"
1,3,1,10,"A","10",0.703,"cherry","","","2017_Sep_27_0935"
1,3,1,11,"E","8",2.043,"peach","","","2017_Sep_27_0935"
1,3,1,12,"X","8",1.353,"orange","","","2017_Sep_27_0935"
1,3,2,13,"WC","2",3.137,"banana","kiwi","","2017_Sep_27_0935"
1,3,2,14,"X","9",2.337,"orange","","","2017_Sep_27_0935"
1,3,2,15,"D","10",1.538,"strawberry","","","2017_Sep_27_0935"
1,3,2,16,"F","1",1.71,"plum","","","2017_Sep_27_0935"
1,3,2,17,"W","10",1.304,"banana","","","2017_Sep_27_0935"
1,3,2,18,"Z","10",3.853,"apple","","","2017_Sep_27_0935"
1,3,2,19,"Y","0",1.343,"pear","","","2017_Sep_27_0935"
1,3,2,20,"C","0",1.338,"kiwi","","","2017_Sep_27_0935"
1,3,2,21,"XF","1",1.91,"orange","plum","","2017_Sep_27_0935"
1,3,2,22,"A","10",1.337,"cherry","","","2017_Sep_27_0935"
1,3,2,23,"B","5",2.093,"mango","","","2017_Sep_27_0935"
1,3,2,24,"E","8",1.971,"peach","","","2017_Sep_27_0935"
2,3,1,1,"B","8",11.337,"kiwi","","","2017_Sep_27_0954"
2,3,1,2,"XF","7",3.804,"mango","plum","","2017_Sep_27_0954"
2,3,1,3,"W","9",2.538,"orange","","","2017_Sep_27_0954"
2,3,1,4,"E","9",2.203,"pear","","","2017_Sep_27_0954"
2,3,1,5,"WC","9",1.838,"orange","apple","","2017_Sep_27_0954"
2,3,1,6,"C","9",1.143,"apple","","","2017_Sep_27_0954"
2,3,1,7,"D","10",5.103,"strawberry","","","2017_Sep_27_0954"
2,3,1,8,"Z","3",3.055,"cherry","","","2017_Sep_27_0954"
2,3,1,9,"X","9",1.527,"mango","","","2017_Sep_27_0954"
2,3,1,10,"Y","3",1.503,"peach","","","2017_Sep_27_0954"
2,3,1,11,"F","6",1.303,"plum","","","2017_Sep_27_0954"
2,3,1,12,"A","10",1.436,"banana","","","2017_Sep_27_0954"
2,3,2,13,"C","2",1.66,"apple","","","2017_Sep_27_0954"
2,3,2,14,"W","10",1.243,"orange","","","2017_Sep_27_0954"
2,3,2,15,"Y","8",2.31,"peach","","","2017_Sep_27_0954"
2,3,2,16,"A","10",1.137,"banana","","","2017_Sep_27_0954"
2,3,2,17,"F","7",1.876,"plum","","","2017_Sep_27_0954"
2,3,2,18,"B","9",1.477,"kiwi","","","2017_Sep_27_0954"
2,3,2,19,"XF","10",1.57,"mango","plum","","2017_Sep_27_0954"
2,3,2,20,"WC","10",1.203,"orange","apple","","2017_Sep_27_0954"
2,3,2,21,"X","9",1.272,"mango","","","2017_Sep_27_0954"
2,3,2,22,"Z","5",1.637,"cherry","","","2017_Sep_27_0954"
2,3,2,23,"D","9",1.538,"strawberry","","","2017_Sep_27_0954"
2,3,2,24,"E","9",2.67,"pear","","","2017_Sep_27_0954"
3,3,1,1,"XF","7",11.303,"plum","peach","","2017_Sep_27_1108"
3,3,1,2,"Z","0",2.936,"strawberry","","","2017_Sep_27_1108"
3,3,1,3,"Y","0",2.737,"kiwi","","","2017_Sep_27_1108"
3,3,1,4,"F","1",1.453,"peach","","","2017_Sep_27_1108"
3,3,1,5,"X","6",1.986,"plum","","","2017_Sep_27_1108"
3,3,1,6,"W","7",1.47,"mango","","","2017_Sep_27_1108"
3,3,1,7,"E","8",1.153,"banana","","","2017_Sep_27_1108"
3,3,1,8,"C","3",1.253,"pear","","","2017_Sep_27_1108"
3,3,1,9,"B","7",4.437,"orange","","","2017_Sep_27_1108"
3,3,1,10,"WC","5",3.137,"mango","pear","","2017_Sep_27_1108"
3,3,1,11,"D","10",1.72,"cherry","","","2017_Sep_27_1108"
3,3,1,12,"A","10",2.253,"apple","","","2017_Sep_27_1108"
3,3,2,13,"C","2",3.603,"pear","","","2017_Sep_27_1108"
3,3,2,14,"XF","6",3.653,"plum","peach","","2017_Sep_27_1108"
3,3,2,15,"A","10",2.653,"apple","","","2017_Sep_27_1108"
3,3,2,16,"F","3",1.42,"peach","","","2017_Sep_27_1108"
3,3,2,17,"W","4",2.486,"mango","","","2017_Sep_27_1108"
3,3,2,18,"X","8",2.636,"plum","","","2017_Sep_27_1108"
3,3,2,19,"E","9",0.986,"banana","","","2017_Sep_27_1108"
3,3,2,20,"WC","1",2.27,"mango","pear","","2017_Sep_27_1108"
3,3,2,21,"Y","1",1.37,"kiwi","","","2017_Sep_27_1108"
3,3,2,22,"B","8",1.687,"orange","","","2017_Sep_27_1108"
3,3,2,23,"D","10",1.036,"cherry","","","2017_Sep_27_1108"
3,3,2,24,"Z","0",1.336,"strawberry","","","2017_Sep_27_1108"
4,3,1,1,"C","4",4.753,"apple","","","2017_Sep_27_1406"
4,3,1,2,"F","4",4.459,"peach","","","2017_Sep_27_1406"
4,3,1,3,"E","8",2.405,"orange","","","2017_Sep_27_1406"
4,3,1,4,"XF","7",3.505,"plum","peach","","2017_Sep_27_1406"
4,3,1,5,"Y","7",2.01,"banana","","","2017_Sep_27_1406"
4,3,1,6,"D","10",1.543,"kiwi","","","2017_Sep_27_1406"
4,3,1,7,"X","10",0.87,"plum","","","2017_Sep_27_1406"
4,3,1,8,"W","7",2.005,"mango","","","2017_Sep_27_1406"
4,3,1,9,"B","8",2.093,"cherry","","","2017_Sep_27_1406"
4,3,1,10,"Z","3",5.843,"strawberry","","","2017_Sep_27_1406"
4,3,1,11,"A","7",1.776,"pear","","","2017_Sep_27_1406"
4,3,1,12,"WC","5",2.302,"mango","apple","","2017_Sep_27_1406"
4,3,2,13,"B","7",1.51,"cherry","","","2017_Sep_27_1406"
4,3,2,14,"WC","2",4.036,"mango","apple","","2017_Sep_27_1406"
4,3,2,15,"A","7",1.32,"pear","","","2017_Sep_27_1406"
4,3,2,16,"Y","5",3.087,"banana","","","2017_Sep_27_1406"
4,3,2,17,"E","7",1.27,"orange","","","2017_Sep_27_1406"
4,3,2,18,"XF","10",3.843,"plum","peach","","2017_Sep_27_1406"
4,3,2,19,"C","5",2.61,"apple","","","2017_Sep_27_1406"
4,3,2,20,"Z","5",2.138,"strawberry","","","2017_Sep_27_1406"
4,3,2,21,"W","0",2.643,"mango","","","2017_Sep_27_1406"
4,3,2,22,"D","6",1.606,"kiwi","","","2017_Sep_27_1406"
4,3,2,23,"F","7",2.07,"peach","","","2017_Sep_27_1406"
4,3,2,24,"X","10",2.604,"plum","","","2017_Sep_27_1406"
5,3,1,1,"D","10",5.902,"cherry","","","2017_Sep_28_0834"
5,3,1,2,"A","10",3.703,"kiwi","","","2017_Sep_28_0834"
5,3,1,3,"WC","2",9.336,"plum","orange","","2017_Sep_28_0834"
5,3,1,4,"C","3",6.403,"orange","","","2017_Sep_28_0834"
5,3,1,5,"X","6",3.07,"pear","","","2017_Sep_28_0834"
5,3,1,6,"W","0",3.437,"plum","","","2017_Sep_28_0834"
5,3,1,7,"B","8",2.31,"strawberry","","","2017_Sep_28_0834"
5,3,1,8,"Z","0",3.441,"apple","","","2017_Sep_28_0834"
5,3,1,9,"XF","3",6.843,"pear","mango","","2017_Sep_28_0834"
5,3,1,10,"E","7",4.737,"banana","","","2017_Sep_28_0834"
5,3,1,11,"F","1",3.259,"mango","","","2017_Sep_28_0834"
5,3,1,12,"Y","0",6.372,"peach","","","2017_Sep_28_0834"
5,3,2,13,"C","6",3.17,"orange","","","2017_Sep_28_0834"
5,3,2,14,"B","9",4.276,"strawberry","","","2017_Sep_28_0834"
5,3,2,15,"Y","2",4.37,"peach","","","2017_Sep_28_0834"
5,3,2,16,"WC","4",5.11,"plum","orange","","2017_Sep_28_0834"
5,3,2,17,"W","1",4.47,"plum","","","2017_Sep_28_0834"
5,3,2,18,"Z","0",4.772,"apple","","","2017_Sep_28_0834"
5,3,2,19,"F","0",3.739,"mango","","","2017_Sep_28_0834"
