"partic","stage","block","trial","stim","resp","rt","fruitL","fruitR","outcome","date"
1,2,1,1,"C","1",7.726,"peach","","","2016_Nov_28_1042"
1,2,1,2,"B","10",1.63,"apple","","","2016_Nov_28_1042"
1,2,1,3,"X","10",0.864,"kiwi","","","2016_Nov_28_1042"
1,2,1,4,"D","7",2.302,"plum","","","2016_Nov_28_1042"
1,2,1,5,"P","8",1.255,"strawberry","","","2016_Nov_28_1042"
1,2,1,6,"Q","8",0.833,"mango","","","2016_Nov_28_1042"
1,2,1,7,"P","8",2.116,"","strawberry","","2016_Nov_28_1042"
1,2,1,8,"Z","6",1.836,"","pear","","2016_Nov_28_1042"
1,2,1,9,"C","1",2.083,"","peach","","2016_Nov_28_1042"
1,2,1,10,"E","5",1.976,"orange","","","2016_Nov_28_1042"
1,2,1,11,"E","5",0.945,"","orange","","2016_Nov_28_1042"
1,2,1,12,"A","10",1.366,"","cherry","","2016_Nov_28_1042"
1,2,1,13,"B","10",0.692,"","apple","","2016_Nov_28_1042"
1,2,1,14,"Y","0",1.411,"banana","","","2016_Nov_28_1042"
1,2,1,15,"D","1",1.38,"","plum","","2016_Nov_28_1042"
1,2,1,16,"Q","4",1.208,"","mango","","2016_Nov_28_1042"
1,2,1,17,"Z","6",4.224,"pear","","","2016_Nov_28_1042"
1,2,1,18,"A","10",0.976,"cherry","","","2016_Nov_28_1042"
1,2,1,19,"Y","0",1.396,"","banana","","2016_Nov_28_1042"
1,2,1,20,"X","10",1.507,"","kiwi","","2016_Nov_28_1042"
1,2,2,21,"B","10",0.786,"","apple","","2016_Nov_28_1042"
1,2,2,22,"D","7",1.193,"","plum","","2016_Nov_28_1042"
1,2,2,23,"B","10",1.005,"apple","","","2016_Nov_28_1042"
1,2,2,24,"C","1",1.318,"","peach","","2016_Nov_28_1042"
1,2,2,25,"Y","0",0.849,"","banana","","2016_Nov_28_1042"
1,2,2,26,"Y","0",0.507,"banana","","","2016_Nov_28_1042"
1,2,2,27,"Z","3",1.052,"","pear","","2016_Nov_28_1042"
1,2,2,28,"E","5",1.583,"orange","","","2016_Nov_28_1042"
1,2,2,29,"X","7",1.13,"","kiwi","","2016_Nov_28_1042"
1,2,2,30,"P","9",1.974,"strawberry","","","2016_Nov_28_1042"
1,2,2,31,"E","5",1.521,"","orange","","2016_Nov_28_1042"
1,2,2,32,"A","10",2.348,"cherry","","","2016_Nov_28_1042"
1,2,2,33,"D","7",1.099,"plum","","","2016_Nov_28_1042"
1,2,2,34,"Q","1",2.849,"mango","","","2016_Nov_28_1042"
1,2,2,35,"C","1",0.88,"peach","","","2016_Nov_28_1042"
1,2,2,36,"Z","4",1.757,"pear","","","2016_Nov_28_1042"
1,2,2,37,"P","8",1.224,"","strawberry","","2016_Nov_28_1042"
1,2,2,38,"X","8",1.099,"kiwi","","","2016_Nov_28_1042"
1,2,2,39,"Q","4",1.461,"","mango","","2016_Nov_28_1042"
1,2,2,40,"A","10",1.068,"","cherry","","2016_Nov_28_1042"
1,2,3,41,"A","10",0.49,"","cherry","","2016_Nov_28_1042"
1,2,3,42,"Z","3",3.6,"pear","","","2016_Nov_28_1042"
1,2,3,43,"A","10",1.163,"cherry","","","2016_Nov_28_1042"
1,2,3,44,"B","10",0.646,"apple","","","2016_Nov_28_1042"
1,2,3,45,"D","7",1.146,"plum","","","2016_Nov_28_1042"
1,2,3,46,"P","8",0.914,"","strawberry","","2016_Nov_28_1042"
1,2,3,47,"Q","7",5.275,"","mango","","2016_Nov_28_1042"
1,2,3,48,"X","9",0.896,"","kiwi","","2016_Nov_28_1042"
1,2,3,49,"E","5",1.177,"","orange","","2016_Nov_28_1042"
1,2,3,50,"Q","7",0.974,"mango","","","2016_Nov_28_1042"
1,2,3,51,"C","2",1.696,"peach","","","2016_Nov_28_1042"
1,2,3,52,"Y","0",1.333,"banana","","","2016_Nov_28_1042"
1,2,3,53,"C","1",1.161,"","peach","","2016_Nov_28_1042"
1,2,3,54,"D","8",1.927,"","plum","","2016_Nov_28_1042"
1,2,3,55,"E","5",1.364,"orange","","","2016_Nov_28_1042"
1,2,3,56,"Y","0",0.961,"","banana","","2016_Nov_28_1042"
1,2,3,57,"B","10",1.099,"","apple","","2016_Nov_28_1042"
1,2,3,58,"P","7",1.333,"strawberry","","","2016_Nov_28_1042"
1,2,3,59,"Z","3",1.114,"","pear","","2016_Nov_28_1042"
1,2,3,60,"X","4",2.74,"kiwi","","","2016_Nov_28_1042"
1,2,4,61,"A","10",1.161,"","cherry","","2016_Nov_28_1042"
1,2,4,62,"X","3",2.974,"kiwi","","","2016_Nov_28_1042"
1,2,4,63,"C","1",0.916,"peach","","","2016_Nov_28_1042"
1,2,4,64,"E","5",2.583,"orange","","","2016_Nov_28_1042"
1,2,4,65,"E","5",0.802,"","orange","","2016_Nov_28_1042"
1,2,4,66,"Q","7",1.146,"mango","","","2016_Nov_28_1042"
1,2,4,67,"A","10",1.286,"cherry","","","2016_Nov_28_1042"
